district,taluk,season,index,mean,median,std,min,max
"Coimbatore","Coimbatore South / East","peak_dry_summer","ndbi",0.1804,0.1398,0.1805,-0.2816,0.5675
"The Nilgiris","The Nilgiris North / West","peak_dry_summer","ndbi",0.1390,0.1398,0.1805,-0.2816,0.5675
"The Nilgiris","The Nilgiris South / East","peak_dry_summer","ndbi",0.1626,0.1398,0.1805,-0.2816,0.5675
"Thanjavur","Thanjavur North / West","peak_dry_summer","ndbi",0.1496,0.1398,0.1805,-0.2816,0.5675
"Thanjavur","Thanjavur South / East","peak_dry_summer","ndbi",0.1269,0.1398,0.1805,-0.2816,0.5675
"Tiruvarur","Tiruvarur North / West","peak_dry_summer","ndbi",0.1268,0.1398,0.1805,-0.2816,0.5675
"Tiruvarur","Tiruvarur South / East","peak_dry_summer","ndbi",0.1335,0.1398,0.1805,-0.2816,0.5675
"Nagapattinam","Nagapattinam North / West","peak_dry_summer","ndbi",0.1091,0.1398,0.1805,-0.2816,0.5675
"Nagapattinam","Nagapattinam South / East","peak_dry_summer","ndbi",0.1557,0.1398,0.1805,-0.2816,0.5675
"Mayiladuthurai","Mayiladuthurai North / West","peak_dry_summer","ndbi",0.1302,0.1398,0.1805,-0.2816,0.5675
"Mayiladuthurai","Mayiladuthurai South / East","peak_dry_summer","ndbi",0.1142,0.1398,0.1805,-0.2816,0.5675
"Tiruchirappalli","Tiruchirappalli North / West","peak_dry_summer","ndbi",0.1528,0.1398,0.1805,-0.2816,0.5675
"Tiruchirappalli","Tiruchirappalli South / East","peak_dry_summer","ndbi",0.1263,0.1398,0.1805,-0.2816,0.5675
"Perambalur","Perambalur North / West","peak_dry_summer","ndbi",0.1062,0.1398,0.1805,-0.2816,0.5675
"Perambalur","Perambalur South / East","peak_dry_summer","ndbi",0.1625,0.1398,0.1805,-0.2816,0.5675
"Ariyalur","Ariyalur North / West","peak_dry_summer","ndbi",0.1230,0.1398,0.1805,-0.2816,0.5675
"Ariyalur","Ariyalur South / East","peak_dry_summer","ndbi",0.1215,0.1398,0.1805,-0.2816,0.5675
"Pudukkottai","Pudukkottai North / West","peak_dry_summer","ndbi",0.1656,0.1398,0.1805,-0.2816,0.5675
"Pudukkottai","Pudukkottai South / East","peak_dry_summer","ndbi",0.1130,0.1398,0.1805,-0.2816,0.5675
"Karur","Karur North / West","peak_dry_summer","ndbi",0.1794,0.1398,0.1805,-0.2816,0.5675
"Karur","Karur South / East","peak_dry_summer","ndbi",0.1182,0.1398,0.1805,-0.2816,0.5675
"Madurai","Madurai North / West","peak_dry_summer","ndbi",0.1186,0.1398,0.1805,-0.2816,0.5675
"Madurai","Madurai South / East","peak_dry_summer","ndbi",0.1700,0.1398,0.1805,-0.2816,0.5675
"Theni","Theni North / West","peak_dry_summer","ndbi",0.1161,0.1398,0.1805,-0.2816,0.5675
"Theni","Theni South / East","peak_dry_summer","ndbi",0.1273,0.1398,0.1805,-0.2816,0.5675
"Dindigul","Dindigul North / West","peak_dry_summer","ndbi",0.1169,0.1398,0.1805,-0.2816,0.5675
"Dindigul","Dindigul South / East","peak_dry_summer","ndbi",0.1112,0.1398,0.1805,-0.2816,0.5675
"Ramanathapuram","Ramanathapuram North / West","peak_dry_summer","ndbi",0.1575,0.1398,0.1805,-0.2816,0.5675
"Ramanathapuram","Ramanathapuram South / East","peak_dry_summer","ndbi",0.1253,0.1398,0.1805,-0.2816,0.5675
"Sivaganga","Sivaganga North / West","peak_dry_summer","ndbi",0.1444,0.1398,0.1805,-0.2816,0.5675
"Sivaganga","Sivaganga South / East","peak_dry_summer","ndbi",0.1176,0.1398,0.1805,-0.2816,0.5675
"Virudhunagar","Virudhunagar North / West","peak_dry_summer","ndbi",0.1678,0.1398,0.1805,-0.2816,0.5675
"Virudhunagar","Virudhunagar South / East","peak_dry_summer","ndbi",0.1583,0.1398,0.1805,-0.2816,0.5675
"Tirunelveli","Tirunelveli North / West","peak_dry_summer","ndbi",0.1166,0.1398,0.1805,-0.2816,0.5675
"Tirunelveli","Tirunelveli South / East","peak_dry_summer","ndbi",0.1405,0.1398,0.1805,-0.2816,0.5675
"Tenkasi","Tenkasi North / West","peak_dry_summer","ndbi",0.1250,0.1398,0.1805,-0.2816,0.5675
"Tenkasi","Tenkasi South / East","peak_dry_summer","ndbi",0.1536,0.1398,0.1805,-0.2816,0.5675
"Thoothukudi","Thoothukudi North / West","peak_dry_summer","ndbi",0.1733,0.1398,0.1805,-0.2816,0.5675
"Thoothukudi","Thoothukudi South / East","peak_dry_summer","ndbi",0.1080,0.1398,0.1805,-0.2816,0.5675
"Kanyakumari","Kanyakumari North / West","peak_dry_summer","ndbi",0.1534,0.1398,0.1805,-0.2816,0.5675
"Kanyakumari","Kanyakumari South / East","peak_dry_summer","ndbi",0.1649,0.1398,0.1805,-0.2816,0.5675
