district,year,month,date,ndvi,ndwi,ndbi,sensor,cloud_cover_pct,data_source,notes
Ariyalur,2005,11,2005-11-15,0.431,0.124,-0.102,Sentinel-2B MSI,3.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-11. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,12,2005-12-15,0.442,-0.161,0.202,Landsat-8 OLI,6.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-12. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,1,2011-01-15,0.405,-0.003,0.145,Landsat-7 ETM+,9.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-01. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,2,2011-02-15,0.471,-0.079,-0.104,Landsat-7 ETM+,11.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-02. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,3,2011-03-15,0.282,-0.1,0.071,Landsat-8 OLI,3.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-03. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,4,2011-04-15,0.35,-0.336,-0.224,Landsat-5 TM,2.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-04. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,5,2011-05-15,0.2,0.017,-0.038,Sentinel-2B MSI,14.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-05. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,6,2011-06-15,0.656,0.403,-0.244,Landsat-5 TM,10.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-06. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,7,2011-07-15,0.588,0.249,-0.189,Sentinel-2A MSI,2.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-07. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,8,2011-08-15,0.473,0.304,0.285,Landsat-7 ETM+,7.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-08. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,9,2011-09-15,0.494,0.389,0.029,Landsat-7 ETM+,2.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-09. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,10,2011-10-15,0.683,0.345,0.042,Landsat-5 TM,9.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-10. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,11,2011-11-15,0.409,0.054,0.292,Landsat-8 OLI,3.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-11. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2011,12,2011-12-15,0.405,-0.145,0.153,Landsat-5 TM,14.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2011-12. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,1,2015-01-15,0.419,0.062,0.271,Landsat-7 ETM+,4.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-01. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,2,2015-02-15,0.517,-0.252,0.047,Landsat-7 ETM+,10.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-02. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,3,2015-03-15,0.247,-0.139,0.245,Sentinel-2A MSI,1.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-03. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,4,2015-04-15,0.179,0.012,-0.123,Landsat-7 ETM+,0.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-04. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,5,2015-05-15,0.247,-0.353,-0.233,Landsat-8 OLI,1.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-05. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,6,2015-06-15,0.538,-0.05,-0.177,Sentinel-2B MSI,8.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-06. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,7,2015-07-15,0.52,0.085,-0.198,Sentinel-2A MSI,5.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-07. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,8,2015-08-15,0.61,-0.162,0.109,Landsat-5 TM,0.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-08. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,9,2015-09-15,0.699,-0.124,-0.145,Sentinel-2B MSI,6.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-09. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,10,2015-10-15,0.554,-0.025,0.258,Sentinel-2A MSI,12.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-10. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,11,2015-11-15,0.481,0.257,0.047,Landsat-5 TM,14.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-11. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2015,12,2015-12-15,0.57,-0.084,0.017,Landsat-7 ETM+,13.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2015-12. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,1,2005-01-15,0.497,-0.398,-0.035,Sentinel-2A MSI,4.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-01. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,2,2005-02-15,0.512,0.148,0.114,Sentinel-2A MSI,2.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-02. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,3,2005-03-15,0.256,0.005,0.048,Landsat-8 OLI,0.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-03. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,4,2005-04-15,0.267,0.197,-0.163,Sentinel-2B MSI,1.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-04. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,5,2005-05-15,0.197,0.073,-0.121,Landsat-5 TM,14.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-05. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,6,2005-06-15,0.629,-0.172,-0.205,Sentinel-2B MSI,8.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-06. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,7,2005-07-15,0.521,0.269,-0.077,Landsat-8 OLI,5.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-07. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,8,2005-08-15,0.632,0.021,0.164,Landsat-5 TM,0.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-08. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,9,2005-09-15,0.643,-0.13,0.046,Sentinel-2B MSI,4.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-09. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,10,2005-10-15,0.768,0.415,-0.047,Landsat-7 ETM+,6.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-10. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,11,2005-11-15,0.439,0.489,0.194,Sentinel-2B MSI,0.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-11. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2005,12,2005-12-15,0.493,0.264,0.266,Landsat-7 ETM+,4.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2005-12. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,1,2011-01-15,0.552,-0.291,-0.095,Landsat-7 ETM+,10.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-01. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,2,2011-02-15,0.404,-0.215,0.019,Landsat-5 TM,1.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-02. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,3,2011-03-15,0.212,-0.398,0.174,Landsat-8 OLI,2.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-03. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,4,2011-04-15,0.259,-0.007,-0.188,Landsat-7 ETM+,8.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-04. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,5,2011-05-15,0.325,-0.296,-0.18,Landsat-8 OLI,5.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-05. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,6,2011-06-15,0.777,-0.172,-0.053,Landsat-7 ETM+,10.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-06. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,7,2011-07-15,0.562,0.412,0.286,Landsat-7 ETM+,13.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-07. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,8,2011-08-15,0.487,0.36,-0.153,Sentinel-2A MSI,0.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-08. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,9,2011-09-15,0.654,0.452,0.191,Landsat-7 ETM+,4.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-09. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,10,2011-10-15,0.647,0.411,0.222,Landsat-7 ETM+,3.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-10. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,11,2011-11-15,0.519,0.374,0.229,Landsat-7 ETM+,0.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-11. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2011,12,2011-12-15,0.371,0.405,0.282,Landsat-8 OLI,5.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2011-12. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,1,2015-01-15,0.47,0.191,-0.068,Landsat-5 TM,1.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-01. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,2,2015-02-15,0.512,0.274,-0.104,Landsat-5 TM,8.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-02. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,3,2015-03-15,0.248,-0.095,0.291,Landsat-5 TM,5.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-03. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,4,2015-04-15,0.241,0.096,-0.249,Sentinel-2B MSI,10.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-04. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,5,2015-05-15,0.362,-0.262,-0.013,Landsat-8 OLI,9.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-05. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,6,2015-06-15,0.611,0.43,0.029,Sentinel-2A MSI,4.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-06. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,7,2015-07-15,0.665,-0.066,0.116,Sentinel-2A MSI,10.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-07. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,8,2015-08-15,0.732,0.011,0.051,Landsat-5 TM,4.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-08. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,9,2015-09-15,0.542,0.225,-0.073,Sentinel-2A MSI,6.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-09. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,10,2015-10-15,0.511,0.431,0.188,Landsat-7 ETM+,9.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-10. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,11,2015-11-15,0.423,0.233,-0.199,Landsat-7 ETM+,10.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-11. Replace with real Sentinel-2/Landsat analysis."
Chengalpattu,2015,12,2015-12-15,0.365,-0.183,-0.115,Sentinel-2A MSI,9.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chengalpattu, 2015-12. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,1,2005-01-15,0.499,0.22,0.167,Sentinel-2A MSI,7.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-01. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,2,2005-02-15,0.414,-0.396,0.263,Landsat-5 TM,11.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-02. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,3,2005-03-15,0.224,0.087,0.106,Sentinel-2B MSI,3.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-03. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,4,2005-04-15,0.315,0.161,0.217,Sentinel-2B MSI,8.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-04. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,5,2005-05-15,0.379,0.029,0.246,Sentinel-2B MSI,6.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-05. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,6,2005-06-15,0.717,-0.089,0.324,Sentinel-2A MSI,3.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-06. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,7,2005-07-15,0.538,0.336,0.137,Landsat-7 ETM+,4.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-07. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,8,2005-08-15,0.452,-0.01,0.026,Sentinel-2B MSI,1.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-08. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,9,2005-09-15,0.484,-0.093,-0.032,Sentinel-2A MSI,6.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-09. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,10,2005-10-15,0.604,-0.055,0.081,Sentinel-2B MSI,14.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-10. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,11,2005-11-15,0.392,0.203,0.112,Landsat-8 OLI,4.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-11. Replace with real Sentinel-2/Landsat analysis."
Chennai,2005,12,2005-12-15,0.467,0.385,0.146,Sentinel-2B MSI,12.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2005-12. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,1,2011-01-15,0.528,-0.209,0.117,Sentinel-2A MSI,5.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-01. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,2,2011-02-15,0.476,-0.284,0.107,Landsat-7 ETM+,14.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-02. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,3,2011-03-15,0.298,0.014,0.215,Landsat-5 TM,9.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-03. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,4,2011-04-15,0.173,-0.365,0.059,Landsat-7 ETM+,6.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-04. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,5,2011-05-15,0.255,-0.205,0.373,Sentinel-2A MSI,3.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-05. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,6,2011-06-15,0.427,0.178,0.4,Landsat-8 OLI,3.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-06. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,7,2011-07-15,0.516,-0.172,-0.133,Landsat-7 ETM+,3.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-07. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,8,2011-08-15,0.421,-0.112,0.218,Sentinel-2B MSI,14.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-08. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,9,2011-09-15,0.565,0.058,0.183,Landsat-5 TM,11.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-09. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,10,2011-10-15,0.48,0.205,0.361,Sentinel-2B MSI,10.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-10. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,11,2011-11-15,0.531,0.301,-0.108,Landsat-7 ETM+,1.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-11. Replace with real Sentinel-2/Landsat analysis."
Chennai,2011,12,2011-12-15,0.54,0.22,-0.083,Sentinel-2B MSI,11.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2011-12. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,1,2015-01-15,0.412,-0.141,0.128,Landsat-8 OLI,0.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-01. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,2,2015-02-15,0.433,-0.097,0.049,Sentinel-2A MSI,10.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-02. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,3,2015-03-15,0.26,0.276,-0.001,Sentinel-2B MSI,11.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-03. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,4,2015-04-15,0.276,0.015,0.027,Landsat-7 ETM+,12.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-04. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,5,2015-05-15,0.205,-0.229,0.106,Sentinel-2B MSI,10.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-05. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,6,2015-06-15,0.55,0.028,0.118,Landsat-8 OLI,12.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-06. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,7,2015-07-15,0.59,0.291,0.002,Landsat-5 TM,7.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-07. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,8,2015-08-15,0.481,0.084,0.155,Landsat-7 ETM+,10.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-08. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,9,2015-09-15,0.643,0.355,-0.099,Landsat-7 ETM+,6.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-09. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,10,2015-10-15,0.539,0.058,0.154,Landsat-8 OLI,6.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-10. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,11,2015-11-15,0.482,0.292,-0.001,Landsat-8 OLI,3.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-11. Replace with real Sentinel-2/Landsat analysis."
Chennai,2015,12,2015-12-15,0.476,0.32,0.373,Landsat-7 ETM+,2.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Chennai, 2015-12. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,1,2005-01-15,0.475,0.013,0.268,Sentinel-2B MSI,4.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-01. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,2,2005-02-15,0.34,-0.241,-0.051,Landsat-5 TM,10.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-02. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,3,2005-03-15,0.13,-0.362,0.011,Landsat-7 ETM+,9.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-03. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,4,2005-04-15,0.261,-0.391,0.006,Sentinel-2A MSI,6.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-04. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,5,2005-05-15,0.142,0.259,0.113,Landsat-5 TM,6.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-05. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,6,2005-06-15,0.485,-0.162,-0.068,Sentinel-2B MSI,14.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-06. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,7,2005-07-15,0.45,0.191,0.079,Sentinel-2B MSI,11.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-07. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,8,2005-08-15,0.52,0.115,0.093,Sentinel-2B MSI,14.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-08. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,9,2005-09-15,0.554,0.227,0.257,Landsat-7 ETM+,9.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-09. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,10,2005-10-15,0.488,-0.032,0.154,Landsat-7 ETM+,0.0,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-10. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,11,2005-11-15,0.449,0.004,-0.023,Landsat-8 OLI,10.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-11. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2005,12,2005-12-15,0.46,0.447,0.283,Sentinel-2B MSI,9.9,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2005-12. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2011,1,2011-01-15,0.529,-0.019,0.206,Landsat-8 OLI,12.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2011-01. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2011,2,2011-02-15,0.331,-0.185,0.262,Sentinel-2B MSI,13.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2011-02. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2011,3,2011-03-15,0.235,-0.187,0.071,Landsat-8 OLI,7.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2011-03. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2011,4,2011-04-15,0.207,-0.372,0.088,Landsat-8 OLI,9.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2011-04. Replace with real Sentinel-2/Landsat analysis."
Coimbatore,2011,5,2011-05-15,0.128,0.072,0.323,Sentinel-2B MSI,14.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Coimbatore, 2011-05. Replace with real Sentinel-2/Landsat analysis."
