district,taluk,season,index,mean,median,std,min,max
"Tiruvarur","Tiruvarur South / East","post_monsoon_greenery","ndwi",-0.3693,-0.3994,0.1514,-0.7200,-0.0074
"Nagapattinam","Nagapattinam North / West","post_monsoon_greenery","ndwi",-0.4352,-0.3994,0.1514,-0.7200,-0.0074
"Nagapattinam","Nagapattinam South / East","post_monsoon_greenery","ndwi",-0.3883,-0.3994,0.1514,-0.7200,-0.0074
"Mayiladuthurai","Mayiladuthurai North / West","post_monsoon_greenery","ndwi",-0.3698,-0.3994,0.1514,-0.7200,-0.0074
"Mayiladuthurai","Mayiladuthurai South / East","post_monsoon_greenery","ndwi",-0.3979,-0.3994,0.1514,-0.7200,-0.0074
"Tiruchirappalli","Tiruchirappalli North / West","post_monsoon_greenery","ndwi",-0.4124,-0.3994,0.1514,-0.7200,-0.0074
"Tiruchirappalli","Tiruchirappalli South / East","post_monsoon_greenery","ndwi",-0.3577,-0.3994,0.1514,-0.7200,-0.0074
"Perambalur","Perambalur North / West","post_monsoon_greenery","ndwi",-0.4322,-0.3994,0.1514,-0.7200,-0.0074
"Perambalur","Perambalur South / East","post_monsoon_greenery","ndwi",-0.4206,-0.3994,0.1514,-0.7200,-0.0074
"Ariyalur","Ariyalur North / West","post_monsoon_greenery","ndwi",-0.3666,-0.3994,0.1514,-0.7200,-0.0074
"Ariyalur","Ariyalur South / East","post_monsoon_greenery","ndwi",-0.4136,-0.3994,0.1514,-0.7200,-0.0074
"Pudukkottai","Pudukkottai North / West","post_monsoon_greenery","ndwi",-0.3718,-0.3994,0.1514,-0.7200,-0.0074
"Pudukkottai","Pudukkottai South / East","post_monsoon_greenery","ndwi",-0.4108,-0.3994,0.1514,-0.7200,-0.0074
"Karur","Karur North / West","post_monsoon_greenery","ndwi",-0.3725,-0.3994,0.1514,-0.7200,-0.0074
"Karur","Karur South / East","post_monsoon_greenery","ndwi",-0.3826,-0.3994,0.1514,-0.7200,-0.0074
"Madurai","Madurai North / West","post_monsoon_greenery","ndwi",-0.3999,-0.3994,0.1514,-0.7200,-0.0074
"Madurai","Madurai South / East","post_monsoon_greenery","ndwi",-0.3956,-0.3994,0.1514,-0.7200,-0.0074
"Theni","Theni North / West","post_monsoon_greenery","ndwi",-0.4232,-0.3994,0.1514,-0.7200,-0.0074
"Theni","Theni South / East","post_monsoon_greenery","ndwi",-0.4282,-0.3994,0.1514,-0.7200,-0.0074
"Dindigul","Dindigul North / West","post_monsoon_greenery","ndwi",-0.3801,-0.3994,0.1514,-0.7200,-0.0074
"Dindigul","Dindigul South / East","post_monsoon_greenery","ndwi",-0.3695,-0.3994,0.1514,-0.7200,-0.0074
"Ramanathapuram","Ramanathapuram North / West","post_monsoon_greenery","ndwi",-0.3797,-0.3994,0.1514,-0.7200,-0.0074
"Ramanathapuram","Ramanathapuram South / East","post_monsoon_greenery","ndwi",-0.3644,-0.3994,0.1514,-0.7200,-0.0074
"Sivaganga","Sivaganga North / West","post_monsoon_greenery","ndwi",-0.3662,-0.3994,0.1514,-0.7200,-0.0074
"Sivaganga","Sivaganga South / East","post_monsoon_greenery","ndwi",-0.3752,-0.3994,0.1514,-0.7200,-0.0074
"Virudhunagar","Virudhunagar North / West","post_monsoon_greenery","ndwi",-0.3656,-0.3994,0.1514,-0.7200,-0.0074
"Virudhunagar","Virudhunagar South / East","post_monsoon_greenery","ndwi",-0.4241,-0.3994,0.1514,-0.7200,-0.0074
"Tirunelveli","Tirunelveli North / West","post_monsoon_greenery","ndwi",-0.3789,-0.3994,0.1514,-0.7200,-0.0074
"Tirunelveli","Tirunelveli South / East","post_monsoon_greenery","ndwi",-0.3771,-0.3994,0.1514,-0.7200,-0.0074
"Tenkasi","Tenkasi North / West","post_monsoon_greenery","ndwi",-0.4251,-0.3994,0.1514,-0.7200,-0.0074
"Tenkasi","Tenkasi South / East","post_monsoon_greenery","ndwi",-0.3647,-0.3994,0.1514,-0.7200,-0.0074
"Thoothukudi","Thoothukudi North / West","post_monsoon_greenery","ndwi",-0.4367,-0.3994,0.1514,-0.7200,-0.0074
"Thoothukudi","Thoothukudi South / East","post_monsoon_greenery","ndwi",-0.4027,-0.3994,0.1514,-0.7200,-0.0074
"Kanyakumari","Kanyakumari North / West","post_monsoon_greenery","ndwi",-0.4357,-0.3994,0.1514,-0.7200,-0.0074
"Kanyakumari","Kanyakumari South / East","post_monsoon_greenery","ndwi",-0.3956,-0.3994,0.1514,-0.7200,-0.0074
