district,time_period,agriculture_pct,built_up_pct,forest_pct,waterbody_pct,wasteland_pct,plantation_pct,grassland_pct,marshy_swamp_pct,total_area_sqkm,data_source,notes
Cuddalore,2005-06,56.41,5.1,13.63,4.44,8.58,7.61,3.0,1.24,4303.27,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Cuddalore, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Cuddalore,2011-12,55.41,6.59,13.13,4.43,8.38,7.89,3.0,1.18,11334.87,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Cuddalore, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Cuddalore,2015-16,54.74,7.58,12.79,4.43,8.25,8.08,2.99,1.14,8304.37,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Cuddalore, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Dharmapuri,2005-06,54.61,11.22,9.93,2.85,4.81,11.37,3.4,1.81,8688.45,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dharmapuri, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Dharmapuri,2011-12,53.62,12.7,9.43,2.84,4.62,11.65,3.39,1.74,10349.95,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dharmapuri, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Dharmapuri,2015-16,52.96,13.68,9.1,2.84,4.5,11.84,3.39,1.7,9648.0,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dharmapuri, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Dindigul,2005-06,55.47,7.59,9.45,4.03,4.13,12.85,5.04,1.44,8382.11,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dindigul, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Dindigul,2011-12,54.47,9.07,8.96,4.03,3.94,13.13,5.03,1.38,5654.13,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dindigul, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Dindigul,2015-16,53.81,10.06,8.63,4.02,3.81,13.31,5.03,1.34,11102.75,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Dindigul, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Erode,2005-06,56.63,6.23,12.24,5.61,4.29,8.64,4.8,1.57,3802.87,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Erode, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Erode,2011-12,55.63,7.72,11.74,5.6,4.1,8.92,4.79,1.5,11974.14,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Erode, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Erode,2015-16,54.97,8.7,11.4,5.59,3.98,9.11,4.78,1.46,6850.03,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Erode, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Kallakurichi,2005-06,56.14,5.17,10.38,6.91,10.0,8.15,1.5,1.74,11959.27,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kallakurichi, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Kallakurichi,2011-12,55.14,6.66,9.89,6.9,9.8,8.44,1.5,1.68,7055.7,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kallakurichi, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Kallakurichi,2015-16,54.47,7.65,9.55,6.89,9.67,8.63,1.5,1.64,11696.32,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kallakurichi, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Kanchipuram,2005-06,59.73,11.18,7.84,5.85,6.04,5.19,3.42,0.75,6065.04,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanchipuram, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Kanchipuram,2011-12,58.73,12.66,7.34,5.84,5.85,5.48,3.42,0.69,6264.1,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanchipuram, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Kanchipuram,2015-16,58.06,13.64,7.01,5.83,5.73,5.67,3.41,0.65,11515.07,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanchipuram, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Kanyakumari,2005-06,56.47,8.14,10.56,2.77,8.4,9.79,1.98,1.89,7894.19,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanyakumari, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Kanyakumari,2011-12,55.47,9.62,10.06,2.77,8.21,10.07,1.98,1.83,3104.81,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanyakumari, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Kanyakumari,2015-16,54.8,10.6,9.73,2.77,8.08,10.26,1.98,1.79,9506.36,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Kanyakumari, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Karur,2005-06,55.11,9.25,18.67,1.98,4.54,3.14,4.66,2.66,10232.49,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Karur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Karur,2011-12,54.11,10.73,18.16,1.98,4.35,3.43,4.65,2.6,4728.9,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Karur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Karur,2015-16,53.45,11.71,17.82,1.97,4.22,3.63,4.64,2.56,2108.21,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Karur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Krishnagiri,2005-06,56.85,3.66,19.32,4.47,2.32,8.95,3.69,0.75,6490.46,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Krishnagiri, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Krishnagiri,2011-12,55.85,5.15,18.8,4.46,2.14,9.23,3.69,0.68,7272.94,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Krishnagiri, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Krishnagiri,2015-16,55.18,6.14,18.46,4.45,2.01,9.42,3.68,0.64,4283.09,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Krishnagiri, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Madurai,2005-06,59.46,5.28,13.26,4.98,7.46,4.58,2.14,2.84,8323.72,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Madurai, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Madurai,2011-12,58.45,6.76,12.75,4.98,7.27,4.87,2.14,2.78,6100.05,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Madurai, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Madurai,2015-16,57.78,7.75,12.42,4.97,7.14,5.06,2.13,2.74,6934.55,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Madurai, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Mayiladuthurai,2005-06,56.9,8.47,13.37,6.64,4.61,5.98,1.54,2.49,3903.89,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Mayiladuthurai, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Mayiladuthurai,2011-12,55.9,9.95,12.87,6.62,4.42,6.27,1.54,2.43,11006.91,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Mayiladuthurai, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Mayiladuthurai,2015-16,55.24,10.94,12.54,6.62,4.3,6.46,1.54,2.39,10526.17,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Mayiladuthurai, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Nagapattinam,2005-06,50.73,12.05,12.38,3.59,3.34,12.48,3.59,1.84,9738.5,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nagapattinam, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Nagapattinam,2011-12,49.74,13.53,11.88,3.58,3.16,12.76,3.58,1.77,9978.72,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nagapattinam, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Nagapattinam,2015-16,49.08,14.51,11.55,3.58,3.03,12.94,3.58,1.73,3499.3,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nagapattinam, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Namakkal,2005-06,48.67,8.38,14.55,4.98,8.12,9.4,5.12,0.77,5727.52,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Namakkal, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Namakkal,2011-12,47.69,9.86,14.05,4.97,7.93,9.68,5.11,0.71,5062.68,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Namakkal, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Namakkal,2015-16,47.03,10.85,13.71,4.96,7.8,9.87,5.1,0.67,10547.56,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Namakkal, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Nilgiris,2005-06,55.94,9.38,11.94,5.07,4.73,5.88,5.25,1.8,10544.17,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nilgiris, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Nilgiris,2011-12,54.94,10.87,11.44,5.06,4.55,6.16,5.24,1.74,7278.42,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nilgiris, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Nilgiris,2015-16,54.28,11.85,11.1,5.06,4.42,6.36,5.24,1.69,2031.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Nilgiris, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Perambalur,2005-06,52.35,11.78,15.87,6.09,7.08,3.62,2.37,0.83,5710.92,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Perambalur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Perambalur,2011-12,51.36,13.26,15.37,6.08,6.89,3.92,2.37,0.77,2115.67,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Perambalur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Perambalur,2015-16,50.7,14.24,15.03,6.07,6.76,4.11,2.36,0.73,5479.22,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Perambalur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Pudukkottai,2005-06,55.1,10.57,9.97,4.03,4.58,9.89,4.24,1.61,9043.29,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Pudukkottai, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Pudukkottai,2011-12,54.11,12.05,9.48,4.02,4.4,10.17,4.23,1.55,3125.37,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Pudukkottai, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Pudukkottai,2015-16,53.44,13.03,9.15,4.02,4.27,10.36,4.23,1.5,4615.43,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Pudukkottai, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Ramanathapuram,2005-06,57.05,8.42,14.28,5.75,2.18,7.32,2.67,2.33,3153.04,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ramanathapuram, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Ramanathapuram,2011-12,56.05,9.91,13.77,5.74,1.99,7.6,2.66,2.27,11588.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ramanathapuram, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Ramanathapuram,2015-16,55.39,10.89,13.44,5.73,1.87,7.79,2.66,2.23,2341.17,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ramanathapuram, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Ranipet,2005-06,49.96,11.39,16.75,3.5,3.03,11.29,2.04,2.04,8003.51,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ranipet, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Ranipet,2011-12,48.98,12.86,16.24,3.49,2.85,11.57,2.03,1.97,5901.86,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ranipet, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Ranipet,2015-16,48.32,13.85,15.9,3.49,2.73,11.76,2.03,1.93,7628.56,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ranipet, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Salem,2005-06,53.48,5.26,20.33,6.07,3.77,6.33,3.56,1.21,4819.86,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Salem, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Salem,2011-12,52.48,6.74,19.82,6.06,3.58,6.62,3.55,1.14,9394.58,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Salem, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Salem,2015-16,51.82,7.73,19.48,6.05,3.46,6.81,3.54,1.1,2261.7,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Salem, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Sivaganga,2005-06,49.21,13.59,19.97,2.22,3.37,4.89,4.3,2.46,10732.34,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Sivaganga, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Sivaganga,2011-12,48.23,15.06,19.45,2.21,3.18,5.18,4.29,2.39,5380.03,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Sivaganga, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Sivaganga,2015-16,47.57,16.04,19.11,2.21,3.06,5.38,4.29,2.35,3156.34,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Sivaganga, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tenkasi,2005-06,54.29,9.1,15.71,6.97,6.37,2.7,3.76,1.1,8465.58,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tenkasi, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tenkasi,2011-12,53.29,10.58,15.2,6.96,6.17,3.0,3.75,1.04,11358.77,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tenkasi, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tenkasi,2015-16,52.63,11.57,14.87,6.95,6.05,3.19,3.75,1.0,2910.06,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tenkasi, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Thanjavur,2005-06,52.4,10.68,10.52,4.03,7.58,10.48,2.01,2.31,4271.83,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thanjavur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Thanjavur,2011-12,51.41,12.15,10.02,4.02,7.38,10.76,2.01,2.25,6629.58,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thanjavur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Thanjavur,2015-16,50.75,13.14,9.69,4.01,7.25,10.94,2.0,2.2,11006.03,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thanjavur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Theni,2005-06,62.15,8.11,9.33,3.67,2.04,9.98,3.56,1.16,9282.92,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Theni, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Theni,2011-12,61.14,9.6,8.83,3.67,1.85,10.26,3.56,1.1,7292.64,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Theni, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Theni,2015-16,60.47,10.58,8.5,3.66,1.73,10.45,3.55,1.06,5990.71,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Theni, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Thoothukudi,2005-06,46.91,14.11,9.4,7.71,6.61,10.91,3.46,0.9,2838.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thoothukudi, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Thoothukudi,2011-12,45.93,15.59,8.9,7.69,6.41,11.19,3.45,0.84,4736.71,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thoothukudi, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Thoothukudi,2015-16,45.27,16.56,8.57,7.68,6.29,11.38,3.45,0.8,10939.31,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Thoothukudi, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruchirappalli,2005-06,54.02,12.23,17.78,2.89,3.54,3.48,3.65,2.4,5766.96,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruchirappalli, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruchirappalli,2011-12,53.03,13.7,17.27,2.89,3.36,3.77,3.65,2.34,8016.95,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruchirappalli, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruchirappalli,2015-16,52.37,14.68,16.93,2.88,3.23,3.97,3.64,2.3,3122.81,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruchirappalli, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tirunelveli,2005-06,51.78,11.98,16.37,5.59,7.37,2.62,3.21,1.08,11273.57,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirunelveli, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tirunelveli,2011-12,50.78,13.46,15.86,5.58,7.18,2.92,3.21,1.02,9923.47,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirunelveli, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tirunelveli,2015-16,50.13,14.44,15.52,5.57,7.05,3.11,3.2,0.98,10572.67,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirunelveli, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tirupathur,2005-06,54.57,11.1,10.46,2.36,8.0,9.56,1.68,2.27,6333.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirupathur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tirupathur,2011-12,53.57,12.57,9.96,2.36,7.81,9.84,1.68,2.2,4704.5,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirupathur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tirupathur,2015-16,52.91,13.56,9.63,2.35,7.68,10.03,1.68,2.16,9851.13,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tirupathur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruppur,2005-06,53.86,5.78,9.06,4.31,9.69,12.72,2.3,2.29,5696.62,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruppur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruppur,2011-12,52.86,7.27,8.56,4.31,9.49,13.0,2.3,2.22,11802.07,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruppur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruppur,2015-16,52.2,8.25,8.23,4.3,9.36,13.18,2.29,2.18,7130.27,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruppur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvallur,2005-06,58.4,13.41,8.8,2.81,8.88,4.93,1.31,1.45,9149.72,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvallur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvallur,2011-12,57.39,14.88,8.31,2.81,8.69,5.22,1.31,1.39,4793.61,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvallur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvallur,2015-16,56.73,15.86,7.98,2.8,8.56,5.42,1.31,1.35,7865.19,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvallur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvannamalai,2005-06,55.62,9.99,13.49,3.55,7.72,3.04,4.74,1.86,9054.01,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvannamalai, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvannamalai,2011-12,54.62,11.47,12.98,3.55,7.53,3.33,4.73,1.8,9290.48,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvannamalai, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvannamalai,2015-16,53.95,12.45,12.65,3.54,7.4,3.53,4.72,1.75,8541.6,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvannamalai, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvarur,2005-06,54.19,11.37,9.31,4.13,4.68,11.02,4.02,1.3,4747.49,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvarur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvarur,2011-12,53.19,12.85,8.81,4.12,4.49,11.3,4.01,1.23,5788.13,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvarur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Tiruvarur,2015-16,52.53,13.83,8.48,4.11,4.36,11.48,4.01,1.19,5725.2,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Tiruvarur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Vellore,2005-06,51.1,8.07,9.82,7.67,7.45,11.17,3.47,1.26,7253.34,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Vellore, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Vellore,2011-12,50.11,9.56,9.32,7.66,7.25,11.44,3.47,1.19,1504.26,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Vellore, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Vellore,2015-16,49.45,10.54,8.99,7.65,7.12,11.63,3.46,1.15,4512.59,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Vellore, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Viluppuram,2005-06,52.82,10.7,15.89,4.72,5.46,4.85,2.85,2.71,9858.26,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Viluppuram, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Viluppuram,2011-12,51.83,12.18,15.38,4.71,5.27,5.14,2.85,2.65,3281.76,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Viluppuram, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Viluppuram,2015-16,51.17,13.16,15.04,4.71,5.14,5.34,2.84,2.61,2390.35,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Viluppuram, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Virudhunagar,2005-06,52.15,6.62,15.9,6.52,7.55,8.54,1.79,0.94,1756.47,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Virudhunagar, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Virudhunagar,2011-12,51.15,8.11,15.39,6.5,7.36,8.82,1.79,0.88,4070.85,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Virudhunagar, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Virudhunagar,2015-16,50.5,9.09,15.05,6.5,7.23,9.01,1.78,0.84,6488.93,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Virudhunagar, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
