district,year,total_land_disputes,boundary_disputes,inheritance_disputes,tenancy_disputes,encroachment_disputes,title_disputes,other_disputes,resolved_cases,pending_cases,avg_resolution_months,data_source,notes
Kanyakumari,2024,550,170,86,82,46,33,133,254,296,30.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2024. Replace with real NJDG + State Revenue Dept integration."
Karur,2019,354,120,81,41,41,28,43,155,199,54.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2019. Replace with real NJDG + State Revenue Dept integration."
Karur,2020,368,95,90,39,49,34,61,148,220,21.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2020. Replace with real NJDG + State Revenue Dept integration."
Karur,2021,199,49,38,29,19,13,51,97,102,47.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2021. Replace with real NJDG + State Revenue Dept integration."
Karur,2022,262,96,55,40,38,20,13,120,142,45.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2022. Replace with real NJDG + State Revenue Dept integration."
Karur,2023,361,93,82,53,49,41,43,158,203,37.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2023. Replace with real NJDG + State Revenue Dept integration."
Karur,2024,222,72,44,23,18,17,48,92,130,28.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Karur, 2024. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2019,318,107,48,51,43,28,41,159,159,25.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2019. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2020,456,126,95,68,52,25,90,191,265,32.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2020. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2021,536,167,106,82,57,55,69,191,345,21.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2021. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2022,356,135,82,35,50,29,25,128,228,39.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2022. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2023,521,189,88,74,75,42,53,255,266,23.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2023. Replace with real NJDG + State Revenue Dept integration."
Krishnagiri,2024,650,231,117,65,70,42,125,336,314,22.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Krishnagiri, 2024. Replace with real NJDG + State Revenue Dept integration."
Madurai,2019,1651,538,292,275,245,110,191,759,892,34.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2019. Replace with real NJDG + State Revenue Dept integration."
Madurai,2020,1554,452,355,206,225,132,184,798,756,29.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2020. Replace with real NJDG + State Revenue Dept integration."
Madurai,2021,1042,395,202,144,107,107,87,443,599,57.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2021. Replace with real NJDG + State Revenue Dept integration."
Madurai,2022,1741,496,396,180,230,172,267,891,850,34.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2022. Replace with real NJDG + State Revenue Dept integration."
Madurai,2023,1519,599,247,269,156,86,162,788,731,22.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2023. Replace with real NJDG + State Revenue Dept integration."
Madurai,2024,1280,334,292,155,158,99,242,468,812,31.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Madurai, 2024. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2019,284,97,67,39,33,26,22,112,172,46.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2019. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2020,191,60,30,28,26,15,32,93,98,55.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2020. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2021,178,54,34,21,19,17,33,68,110,25.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2021. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2022,273,88,56,32,34,22,41,131,142,55.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2022. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2023,260,71,50,33,31,24,51,113,147,28.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2023. Replace with real NJDG + State Revenue Dept integration."
Mayiladuthurai,2024,317,119,50,41,33,22,52,155,162,18.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Mayiladuthurai, 2024. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2019,485,162,106,77,40,44,56,217,268,56.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2019. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2020,359,132,61,41,35,36,54,180,179,46.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2020. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2021,296,102,53,40,35,29,37,108,188,30.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2021. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2022,462,170,109,59,53,31,40,176,286,56.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2022. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2023,597,216,109,65,87,35,85,324,273,54.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2023. Replace with real NJDG + State Revenue Dept integration."
Nagapattinam,2024,558,170,127,56,65,45,95,270,288,46.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nagapattinam, 2024. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2019,456,121,79,46,64,40,106,243,213,27.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2019. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2020,286,99,46,29,23,34,55,106,180,27.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2020. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2021,445,156,99,78,48,45,19,169,276,35.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2021. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2022,308,120,54,47,29,24,34,122,186,33.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2022. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2023,599,155,106,106,87,64,81,220,379,26.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2023. Replace with real NJDG + State Revenue Dept integration."
Namakkal,2024,527,193,91,58,62,28,95,265,262,26.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Namakkal, 2024. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2019,136,49,31,20,13,16,7,74,62,40.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2019. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2020,194,52,36,31,23,9,43,78,116,23.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2020. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2021,141,45,32,19,12,12,21,76,65,19.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2021. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2022,264,77,56,27,39,28,37,114,150,22.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2022. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2023,204,60,33,22,25,18,46,100,104,34.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2023. Replace with real NJDG + State Revenue Dept integration."
Nilgiris,2024,204,69,32,31,28,19,25,102,102,48.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Nilgiris, 2024. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2019,90,28,20,11,11,6,14,37,53,28.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2019. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2020,188,48,43,20,16,19,42,96,92,41.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2020. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2021,146,51,27,24,21,11,12,77,69,20.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2021. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2022,92,30,15,14,8,5,20,47,45,33.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2022. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2023,183,68,45,30,22,17,1,65,118,57.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2023. Replace with real NJDG + State Revenue Dept integration."
Perambalur,2024,149,43,33,25,15,9,24,56,93,45.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Perambalur, 2024. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2019,243,64,49,31,27,14,58,100,143,31.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2019. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2020,530,144,119,55,45,42,125,230,300,43.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2020. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2021,382,102,73,46,48,32,81,184,198,19.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2021. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2022,366,102,89,59,48,25,43,136,230,38.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2022. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2023,381,135,76,63,51,20,36,199,182,19.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2023. Replace with real NJDG + State Revenue Dept integration."
Pudukkottai,2024,312,104,64,48,34,18,44,110,202,31.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Pudukkottai, 2024. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2019,406,106,95,48,49,35,73,174,232,31.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2019. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2020,274,71,58,39,25,28,53,115,159,58.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2020. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2021,343,93,58,50,45,32,65,132,211,50.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2021. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2022,370,117,89,53,46,34,31,193,177,44.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2022. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2023,227,78,52,33,23,12,29,100,127,19.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2023. Replace with real NJDG + State Revenue Dept integration."
Ramanathapuram,2024,278,95,55,38,33,29,28,147,131,36.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ramanathapuram, 2024. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2019,374,127,74,66,41,39,27,193,181,59.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2019. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2020,189,54,36,25,22,11,41,80,109,29.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2020. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2021,299,77,63,37,30,26,66,127,172,28.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2021. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2022,444,169,81,65,39,33,57,241,203,47.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2022. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2023,286,84,53,46,39,27,37,147,139,49.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2023. Replace with real NJDG + State Revenue Dept integration."
Ranipet,2024,378,123,57,47,55,27,69,190,188,26.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ranipet, 2024. Replace with real NJDG + State Revenue Dept integration."
Salem,2019,1672,545,341,266,195,161,164,878,794,44.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2019. Replace with real NJDG + State Revenue Dept integration."
Salem,2020,1315,488,219,177,143,128,160,522,793,36.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2020. Replace with real NJDG + State Revenue Dept integration."
Salem,2021,1233,352,304,200,176,78,123,598,635,42.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2021. Replace with real NJDG + State Revenue Dept integration."
Salem,2022,1446,475,356,239,196,86,94,578,868,44.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2022. Replace with real NJDG + State Revenue Dept integration."
Salem,2023,1792,676,319,288,177,203,129,680,1112,36.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2023. Replace with real NJDG + State Revenue Dept integration."
Salem,2024,1696,660,324,223,180,130,179,621,1075,27.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Salem, 2024. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2019,278,102,45,34,38,27,32,105,173,47.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2019. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2020,291,73,49,32,42,26,69,126,165,50.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2020. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2021,245,76,56,33,21,27,32,114,131,18.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2021. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2022,316,92,47,40,37,19,81,152,164,40.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2022. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2023,358,116,89,51,38,29,35,170,188,59.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2023. Replace with real NJDG + State Revenue Dept integration."
Sivaganga,2024,220,66,49,33,29,22,21,91,129,19.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Sivaganga, 2024. Replace with real NJDG + State Revenue Dept integration."
Tenkasi,2019,353,132,77,62,40,22,20,133,220,48.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2019. Replace with real NJDG + State Revenue Dept integration."
Tenkasi,2020,461,118,78,47,66,39,113,252,209,40.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2020. Replace with real NJDG + State Revenue Dept integration."
Tenkasi,2021,292,85,68,30,36,20,53,148,144,36.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2021. Replace with real NJDG + State Revenue Dept integration."
